เกรดเฉลี่ยสะสม,รายได้ต่อเดือนของนักศึกษา (บาท),รายจ่ายต่อเดือนของนักศึกษา (บาท),รายได้ต่อเดือนของครอบครัว (บาท),ระยะทางจากที่พักมาห้องเรียน (กิโลเมตร),การใช้อินเตอร์อินเน็ตกี่ชั่วโมงใน 1 วัน ,เพศ_ชาย,เพศ_หญิง,ชั้นปี_ชั้นปีที่ 2,ชั้นปี_ชั้นปีที่ 3,ชั้นปี_ชั้นปีที่ 4,สาขา_คณิตศาสตร์,สาขา_จุลชีววิทยา,สาขา_ชีววิทยา,สาขา_ฟิสิกส์,สาขา_วัสดุศาสตร์,สาขา_วิทยาการคอมพิวเตอร์,สาขา_วิทยาศาสตร์พอลิเมอร์,สาขา_สถิติ,สาขา_เคมี,สาขา_เคมี - ชีววิทยาประยุกต์,สาขา_เทคโนโลยีชีวภาพ,สาขา_เทคโนโลยีสารสนเทศและการสื่อสาร,หอพัก_หอนอก,หอพัก_หอใน,ยานพาหนะที่ใช้มาเรียน _รถรับจ้าง,ยานพาหนะที่ใช้มาเรียน _รถส่วนตัว,ยานพาหนะที่ใช้มาเรียน _รถเมล์มอ,ยานพาหนะที่ใช้มาเรียน _เดิน
3.14,5000,4500,20000,0.8,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2.6,5000,4000,20000,0.75,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2.7,5000,5000,20000,0.0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3.15,4000,3800,18000,2.0,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2.24,3000,2800,18000,1.0,12,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2.8,5000,5000,15000,6.0,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.15,4000,4000,10000,1.0,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2.55,8500,8000,17000,1.4,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2.97,4500,4500,20000,1.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.35,6000,5000,15000,3.3,10,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.35,7000,7000,20000,2.0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.81,9000,8000,15000,3.0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3.0,6000,4000,60000,3.5,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3.22,6000,4000,20000,1.4,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.46,7000,6500,15000,2.0,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.52,6000,6000,15000,2.0,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3.02,8000,7500,0,1.0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.33,6000,6000,15000,2.0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.9,6000,5500,40000,1.6,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.69,8000,7000,40000,1.0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2.82,6000,4000,15000,2.0,10,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3.36,3500,3000,9000,0.5,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3.49,8000,6000,30000,5.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.95,5000,5000,20000,1.0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2.68,6000,4500,25000,3.0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2.56,6000,4500,15000,1.5,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2.32,10000,8000,15000,1.3,12,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.19,4500,4300,15000,1.1,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2.28,7000,6500,50000,10.0,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.23,6000,4000,20000,2.0,24,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.65,6000,6000,15000,1.0,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.4,6000,4500,40000,1.3,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.77,5000,5000,15000,1.0,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.82,5000,4500,40000,1.3,12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.84,4000,3000,15000,1.0,8,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2.53,1000,8000,15000,1.0,10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3.45,4000,3000,15000,0.9,16,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2.53,6000,5000,15000,0.7,14,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.12,8000,5000,12000,5.0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3.2,4000,3800,12000,3.0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2.96,6000,5000,12000,2.0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2.5,4000,3500,12000,2.0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2.72,6000,6000,12000,1.0,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.37,4000,4000,10000,1.0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3.0,9000,6000,20000,1.0,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2.97,5000,5000,12000,1.0,15,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2.91,4000,3500,12000,1.0,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.48,3000,2800,12000,1.0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2.5,6000,5000,70000,1.0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2.36,5000,4500,30000,1.0,9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2.58,4000,2500,10000,15.0,18,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3.09,10000,9000,50000,1.0,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3.09,8000,7000,22000,2.0,19,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2.79,6000,4500,70000,0.5,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3.26,7500,6000,11000,1.0,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2.98,6000,6000,10000,1.0,15,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2.4,5000,4500,30000,5.0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3.11,300,2000,6000,1.0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2.39,4000,4000,9000,5.0,24,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3.13,4000,3800,9000,1.3,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2.62,3500,4000,9000,1.0,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.08,3500,3200,8000,1.0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2.81,6000,4000,7500,1.0,10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
